Total de combinacoes no grid: 162
[1/162] cv_auc=0.857809 +/- 0.003539 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[161/162] cv_auc=0.870464 +/- 0.001613 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[162/162] cv_auc=0.869952 +/- 0.001487 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}

Treinamento concluido. Resultados salvos em: random_forest_results.txt

Resumo rapido — conjunto de TESTE:
  AUC-ROC    : 0.8747
  AUC-PR     : 0.9792
  KS         : 0.5796   (decil 7)
  F1-Score   : 0.9359
  MCC        : 0.4161
  Brier Score: 0.0848
  Log-Loss   : 0.2804
  y_test.npy  (ja existe — mantido)

Arrays para ensemble salvos em:
  random_forest_test_proba.npy   (shape: (14692, 2))
